Date,Category,Amount
2026-01-03,Food,45
2026-01-05,Transport,20
2026-01-10,Food,35
2026-01-12,Entertainment,50
2026-01-15,Shopping,80
2026-01-18,Transport,25
2026-01-20,Food,60
2026-01-22,Shopping,40
2026-01-25,Entertainment,30
2026-01-28,Food,55
2026-02-02,Transport,30
2026-02-05,Food,50
2026-02-08,Shopping,70
2026-02-12,Entertainment,40
2026-02-15,Food,65
2026-02-18,Transport,25
2026-02-20,Shopping,50
2026-02-22,Food,45
2026-02-25,Entertainment,35
2026-02-27,Transport,20
2026-03-02,Food,55
2026-03-05,Shopping,90
2026-03-08,Transport,30
2026-03-12,Entertainment,45
2026-03-15,Food,70
2026-03-18,Shopping,60
2026-03-20,Transport,25
2026-03-23,Food,50
2026-03-25,Entertainment,40
2026-03-28,Shopping,75
